"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-18","Plate2A04",99,"sin1_1",138.664,36.554,700,33.75,-0.475,-62.5,158.1865707,21.125,-0.075,5,-1.64961995,-1.45e-14,-1.13e-14,1.53e-14,-0.15,-4.5,5.5,-1.635,-1.685,0.2125
"Pa-39","Plate2A05",100,NA,132.061,34.772,200,NA,-1.075,36.2919985,894.0305835,45.91540332,-0.001667765,12.74198631,9.767296845,0.706935333,-0.00872484,0.358609385,0.638906198,-64.21324095,10.47573908,-4.666504456,-2.338112852,0.142751759
"Pa-189","Plate2A06",101,"sin1_1",NA,NA,NA,25,0.025,-25,-6.95147425,9.875,-0.175,21.25,-2.03686347,0.875,0.375,0.25,0.275,50.75,-6.75,0.435,-4.3375,1.05
"Pa-107","Plate2A07",102,NA,NA,NA,NA,30.25,0.25,-50,170.1427317,27.125,-0.05,-1.25,-5.03536426,0.875,0.375,0.25,0.5,-3.25,-4.75,-1.0175,-2.46,0.4875
"Pa-101","Plate2B01",103,"sin1_1",NA,NA,NA,16.25,-0.175,-25,263.3911696,12.125,-0.45,27.5,-6.009010303,0.5,0.5,1.52e-14,0.35,31.5,-1.75,2.065,-2.0125,0.3075
"Pa-19","Plate2B02",104,"sin1_1",138.428,36.3302,1200,NA,-2.65,-112.5,337.7299615,37.375,0.825,-16.25,12.54397779,1,-1.11e-14,0.5,1.525,-82,-5.5,-4.3275,-2.45,-0.9125
"Pa-158","Plate2B03",105,"sin1_1",NA,NA,NA,32.75,-0.25,-2.69e-12,-156.9925083,20.875,0.15,22.5,-5.726650495,0.125,0.125,1.52e-14,0.925,23.25,-9.25,-0.415,-3.5075,1.82
"Pa-225","Plate2B04",106,"sin1_1",138.664,36.554,700,44.25,-0.7,-2.74e-12,96.57286449,14.875,0.3,15,0.946386443,0.5,-1.12e-14,0.25,0.55,8.25,-5.75,-1.4575,-3.045,0.2675
"Pa-163","Plate2B05",107,"sin1_2",NA,NA,NA,39.25,-0.4,-137.5,-163.3435306,25.375,-0.25,-3.75,-2.238675635,0.5,0.5,1.52e-14,0.375,8.5,-2.75,0.5475,-2.125,0.835
"Pa-221","Plate2B06",108,"sin1_2",127.433,38.0833,500,52.5,0.2,-87.5,-551.2470542,24.875,-0.275,-12.5,3.581193625,-1.5,-1.13e-14,-0.75,-0.35,-44.75,-1.25,-2.7425,-3.3075,1.4725
"Pa-179","Plate2C01",109,NA,NA,NA,NA,37.25,0.5,-25,249.0001697,27.375,-0.4375,11.25,-1.700171978,0.125,0.125,1.53e-14,0.7,1.25,1.25,0.8325,-2.04,0.8975
