"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-10","Plate1D02",38,"sin1_1",140.74,38.4005,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pa-99","Plate1D03",39,NA,NA,NA,NA,28.24232054,0.680085879,9.881383501,501.5489742,27.63838283,-0.438467232,16.77996247,-3.30661663,0.264011097,0.296716068,-0.016066876,0.701887515,9.487001833,0.519608555,2.056413887,-2.201827505,1.549023618
"Pa-38","Plate1D04",40,NA,132.061,34.772,200,NA,-3.575,-25,428.9863105,34.625,-0.2625,25,7.589461835,-1.45e-14,-1.13e-14,1.52e-14,0.35,-58.75,-1,-4.6875,-2.2,0.2275
"Pa-28","Plate1D05",41,"sin1_1",137.725,36.141,1320,12,0.025,-12.5,-632.2422198,5,-0.2125,-10,-1.640874928,-1.44e-14,-1.12e-14,1.52e-14,-0.75,-12.5,0.25,1.875,-3.7975,1.5375
"Pa-161","Plate1D06",42,NA,NA,NA,NA,28.25,-0.3,-62.5,-209.4384793,26.875,0.2875,20,-3.845975208,-2,-1.14e-14,-1,1.025,20.75,-7.5,-0.69,-2.8675,-0.0925
"Pa-162","Plate1D07",43,"sin1_1",NA,NA,NA,20,-0.5,12.5,127.9184522,13.375,-0.175,36.25,-4.06690968,0.5,0.5,1.52e-14,2.15,47.5,-11.25,1.725,-4.805,0.6375
"Pa-319","Plate1D08",44,"sin1_1",NA,NA,NA,24.75,-0.35,-87.5,-104.6167422,24.375,-0.15,15,-7.59576265,0.125,0.125,1.52e-14,0.375,20,-7.25,1.7625,-2.9025,0.2375
"Pa-35","Plate1D09",45,NA,137.725,36.141,1320,10.75,0.6,-100,-454.9425467,6.625,-0.25,-30,2.835790347,0.25,0.25,1.52e-14,-1.7,-31,10.5,-2.6125,-1.995,-0.5775
"Pa-156","Plate1D10",46,"sin1_1",NA,NA,NA,53.5,-2.35,-75,-109.1843697,15.125,-0.85,-1.25,10.66926657,-0.75,0.25,-0.5,0.025,-31.75,-0.5,-1.32,-3.83,0.245
"Pa-59","Plate1D11",47,"sin1_2",128.15,36.9667,50,80.75,-1.2,-75,600.6658335,36.875,-0.3,-1.25,7.083815872,-0.5,-1.12e-14,-0.25,0.55,-53.25,4.5,-1.275,-5.9025,0.455
"Pa-229","Plate1D12",48,"sin1_2",124.852,40.91,450,28.97885418,0.575,-230.3746682,-798.9011716,20.24873666,-0.368334432,-43.92468036,-1.437789325,0.706935333,-0.00872484,0.358609385,-1.227760469,-48.54657429,-1.190927588,-2.003171122,-3.314779518,1.156085092
"Pa-24","Plate1E01",49,NA,137.725,36.141,1320,13.25,0.25,-75,-220.2789062,5.375,-0.375,-10,-2.610553563,-0.5,-1.13e-14,-0.25,-1.4,-30,15,-0.345,-1.055,-0.7375
"Pa-254","Plate1E02",50,"sin1_1",NA,NA,NA,27,-9.13e-13,-150,-97.58085172,13.375,-0.975,-10,2.908172587,-0.5,0.5,-0.5,-1.25,-25.25,6.25,0.195,-1.2425,-0.08
"Pa-70","Plate1E03",51,"sin1_2",126.183,33.25,NA,NA,-2.5,-75,-301.8657003,32.875,0.075,-16.25,12.52005105,-1.45e-14,-1.12e-14,1.52e-14,1.35,-112,-8.25,-3.7625,-2.4975,0.5675
"Pa-7","Plate1E04",52,NA,140.74,38.4005,200,43.25,-0.325,25,184.9317835,21.375,-0.1,7.5,2.843699385,1.125,0.125,0.5,1.25,-8.5,6.75,0.74,-2.175,0.215
"Pa-210","Plate1E05",53,"sin1_1",NA,NA,NA,9.75,-0.4,-12.5,-86.65632757,-0.875,-0.325,15,-4.512151473,0.5,0.5,1.52e-14,0.375,30.5,-4.25,3.445,-3.905,0.67
"Pa-84","Plate1E06",54,"sin1_2",127.083,35.1667,300,89.5,-0.525,-25,209.1082733,27.375,-0.175,-8.75,9.682279942,0.75,0.25,0.25,0.425,-78,7.5,-3.3325,-4.1125,0.325
"Pa-271","Plate1E07",55,"sin1_1",140.121,37.0161,1260,59.25,-0.95,-62.5,304.7578773,22.125,-0.025,-1.25,-0.286346518,1.375,0.375,0.5,1.275,-16.25,-3.25,-1.2125,-1.2725,-0.35
"Pa-89","Plate1E08",56,"sin1_2",NA,NA,NA,33.75,-0.15,-12.5,-237.0518804,16.125,-0.5,-18.75,3.85913059,-0.875,0.125,-0.5,-0.225,-28.75,2.75,-3.0375,-4.1325,0.5975
"Pa-2","Plate1E09",57,"sin1_1",140.74,38.4005,1000,37.75,-0.65,25,628.9632365,6,-0.05,21.25,3.577624465,-1.45e-14,-1.12e-14,1.52e-14,0.2,18.75,1.5,-0.8825,-1.3375,-0.015
"Pa-159","Plate1E10",58,"sin1_1",NA,NA,NA,11.75,0.35,12.5,-526.3779657,7.125,-0.05,2.5,-3.997954588,-0.875,0.125,-0.5,0.8,11.75,-7.75,1.45,-3.8875,1.5275
"Pa-41","Plate1E11",59,"sin1_1",132.061,34.772,200,NA,-1.2,87.5,-465.3235487,25.625,-0.125,-32.5,5.37585343,-1.44e-14,-1.13e-14,1.52e-14,-0.375,-95.5,6.75,-2.475,-0.7775,-0.495
"Pa-13","Plate1E12",60,"sin1_1",140.121,37.0161,1260,-1.25,-0.2,-50,-152.3288437,4.125,-0.45,1.25,-5.859743783,-1,-1.12e-14,-0.5,-0.05,4.25,5.25,1.8325,-2.38,-0.145
"Pa-216","Plate1F01",61,"sin1_1",NA,NA,NA,-5.25,0.325,137.5,-162.995524,1.75,-0.5625,-6.25,-5.237491715,0.5,0.5,1.52e-14,-0.875,2.5,5.5,-0.3425,-1.8025,0.755
"Pa-192","Plate1F02",62,"sin1_1",NA,NA,NA,-9.56e-13,1.275,-37.5,292.7770409,-0.625,-0.525,30,-5.213197958,-0.75,0.25,-0.5,0.125,48.5,-2.5,1.36,-2.0925,1.5275
"Pa-190","Plate1F03",63,"sin1_1",NA,NA,NA,46.25,-0.425,-75,-156.9216955,9.625,-0.425,27.5,0.83065102,0.5,-1.12e-14,0.25,1.125,20.75,-3.75,2.785,-4.9725,2.0025
"Pa-33","Plate1F04",64,"sin1_1",138.428,36.3302,1200,4.5,0.85,-100,-475.1158984,1.625,-0.75,-40,3.644633985,0.5,-1.12e-14,0.25,-1.575,-52.5,17.75,0.3725,-3.11,0.2725
"Pa-105","Plate1F05",65,"sin1_1",NA,NA,NA,21.25,-0.95,50,360.9171964,11.125,-0.4,16.25,-1.047428068,1.375,0.375,0.5,-0.4,9.25,8.25,2.59,-4.155,0.3375
"Pa-194","Plate1F06",66,"sin1_1",NA,NA,NA,1.25,0.8,-12.5,-164.4822286,8.875,-0.175,5,-3.945938673,-1.125,0.375,-0.75,0.375,2.5,-1,-0.7875,-0.5525,-0.2625
"Pa-90","Plate1F07",67,"sin1_2",NA,NA,NA,77.5,-1.3,-37.5,-90.47739727,36.625,-0.1,6.25,10.64340633,0.25,0.25,1.52e-14,1.375,-39.25,-1.75,-1.64,-4.185,0.665
"Pa-74","Plate1F08",68,"sin1_2",128.45,35.6667,100,62.47122048,-1.15,25,-414.4234449,11.375,-0.5,-35,13.15183842,1.75,-0.25,1,-0.05,-93.75,3.25,-5.3125,-1.2125,-0.865
"Pa-9","Plate1F09",69,"sin1_1",140.74,38.4005,1100,-18.5,0.625,-12.5,-479.5647737,-8.875,-0.35,-46.25,3.833499797,1.25,0.25,0.5,-1.025,-35.25,11,-1.91,-2.4175,-0.8575
"Pa-23","Plate1F10",70,"sin1_1",137.725,36.141,1320,28.25,-0.75,-25,781.6923593,18,-0.025,30,-3.446745068,-1,-1.14e-14,-0.5,0.35,17.5,-2.75,1.6075,-3.7,0.38
"Pa-218","Plate1F11",71,"sin1_1",NA,NA,NA,1.25,0.95,-12.5,-43.35912055,1.125,-0.6,5,-2.51262284,-0.5,0.5,-0.5,-0.775,-5.75,10.5,3.3825,-3.1175,1.0175
